CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N,Color
LB_17854_2,8.49,3.9,6.62,5.5,11.51,12.99,9.31,16.07,15.4,15.18,19.72,22.01,11.71,14.32,20.46,22.12,19.99,17.14,4.25,10.75,17.74,12.26,4.22,2.01,5.33,5.87,6.92,63.13,3.58,5.31,3.6,5.91,8.99,5.45,8.18,4.01,10.36,3.28,4.73,3.47,17.3,22,#0000FF
LB_17854_3,8.42,4.4,6.54,5.26,10.15,11.18,9.13,12.89,12.23,12.79,16.56,18.2,8.21,12.02,14.42,17.93,14.73,15.5,3.13,10.28,16.25,12.58,4.22,1.86,4,4.55,5.73,54.32,3.48,4.54,3.38,6.2,8.06,5.52,8.25,3.65,10.08,3.06,4.71,3.11,15.89,24,#0000FF
LB_17854_4,8.81,3.51,5.84,5.19,10.12,10.76,8.91,12.1,11.28,12.12,15.89,17.43,8.22,11.2,12.72,16.24,13.9,13.76,2.85,9.06,14.6,10.53,4,1.65,4.03,5.21,5.29,49.96,3.66,4.45,3.27,5.02,7.03,5.57,8.08,3.34,9.83,3.26,4.18,3.17,14.86,5,#0000FF
LB_17854_5,8.06,3.6,6.5,5.66,11.32,11.63,9.09,13.48,14.7,14.8,18.71,20.39,11.28,13.41,17.41,21.18,17.44,15.54,3.29,9.6,17.24,10.66,4.44,2.19,4.59,6.65,5.7,58.15,3.39,4.86,3.1,6.69,7.75,5.48,8.17,3.93,10.2,3.92,4.82,3.3,16.67,23,#0000FF
LB_17854_6,8.15,3.92,6.38,5.66,10.53,11.28,8.8,11.7,12.43,12.98,16.22,18.42,8.38,10.63,13.42,16.53,14.55,14.15,3.14,10.26,15.05,11.59,3.13,2.03,3.85,4.82,4.6,51.64,3.72,4.7,3.45,4.81,7.79,5.73,8.38,3.5,10.24,3.33,4.57,2.99,16.37,16,#0000FF
LB_17854_7,7.12,3.66,6.35,5.2,10.75,11.06,7.89,13.85,15,13.7,17.22,18.98,9.88,12.78,18.94,20.91,17.81,14.28,3.14,8.48,16.24,9.78,6.03,1.67,5.58,6.36,6.47,55.67,2.79,4.67,3.18,6.19,7.81,4.6,7.11,3.32,9.06,2.97,4.34,3.22,15.1,7,#0000FF
LB_17854_8,9.45,4.45,6.7,6.3,11.23,13.29,10.58,13.16,13.4,14.43,18.03,20.08,9.73,11.47,15.44,18.72,16.15,15.17,3.29,11.06,16.43,13.17,3.81,1.86,3.69,5.36,5.06,57.73,4.41,5.06,3.77,6.68,8.3,6.37,9.11,3.52,10.86,3.14,4.99,3.46,18.22,15,#0000FF
LB_17854_9,8.33,4.23,6.78,5.4,10.85,11.52,9.45,15.15,13.41,15.36,18.89,20.13,12.01,13.22,17.81,21.32,17.41,15.99,3.16,10.42,16.63,11.98,3.99,1.79,4.19,5.85,5.49,58.95,3.31,4.52,3.45,5.62,8.33,5.41,8.07,4.35,9.98,3.31,4.76,3.14,16.01,22,#0000FF
LB_17854_10,8.75,3.96,6.06,4.87,11.01,11.54,8.27,14.68,13.9,14.45,17.9,19.32,11.1,12.83,18,20.14,17.51,15.09,3.4,8.7,15.69,10.17,5.1,2.1,4.56,5.61,6.17,56.66,3.21,5.11,3.27,6.8,8.32,5.68,8.12,3.5,9.97,3.09,4.58,3.55,16.76,22,#0000FF
LB_17854_11,8.31,3.45,6.74,4.73,11,10.57,8.72,13.51,14.29,14.61,18.01,19.48,9.5,12.75,16.72,19.82,17.53,15.42,2.59,9.7,16.85,11.02,4.42,1.88,4.03,5.17,5.83,55.5,3.11,4.76,3.26,6.71,8.98,5.1,7.72,3.57,9.89,3.16,4.34,3.3,16.23,7,#0000FF
LB_17854_12,7.01,3.29,6.43,4.66,8.95,10.46,7.76,12.6,13.1,12.25,15.95,17.66,9.39,10.99,15,16.99,15.12,12.68,2.61,7.5,14.41,9.46,5.09,1.54,4.14,5.91,5.75,50.81,2.85,4.28,3.4,5.47,7.1,4.63,7.09,3.49,8.62,2.63,4.04,2.78,14.21,11,#0000FF
LB_17854_13,7.78,3.66,6.1,4.9,10.03,10.89,8.81,13.11,11.87,13.44,15.97,17.94,8.45,9.9,13.71,16.31,14.46,14.24,2.92,9.63,14.57,10.99,4.84,1.74,3.61,5.48,4.82,52.59,3.47,4.38,3.42,5.92,7.94,5.12,8.08,3.3,10.02,3.53,4.58,3.15,15.36,23,#0000FF
LB_17854_14,8.64,4.41,6.72,5.69,11.49,12.22,9.34,13.26,13.24,13.62,17.05,19.11,9.21,11.75,14.02,18.13,15.59,15.32,3.32,10.31,15.69,12.09,4.26,2.08,3.95,5.24,5.48,55.75,3.9,4.78,3.43,5.37,8.32,5.58,8.57,3.62,10.38,3.25,4.68,3.26,17.65,6,#0000FF
LB_17854_15,8.69,4.12,7.25,5.49,11.7,12,9.68,16.18,16.28,15.73,19.96,23.09,10.71,14.16,19.81,22.15,19.88,18.47,3.8,13.16,19.83,12.74,4.79,2.17,4.7,5.26,4.89,63.89,3.74,5.14,3.85,5.81,9.15,5.89,8.56,4.13,10.67,3.41,5,3.21,18.3,24,#0000FF
LB_17856_1,8.47,4.47,6.75,5.72,10.62,12.97,9.75,13.41,13.52,13.43,17.71,19.05,9.75,11.19,15.32,19.16,16.76,15.65,3.2,10.72,16.6,12.83,4.44,1.99,3.46,4.82,5.24,56.71,3.93,4.43,3.53,4.6,7.96,5.77,8.21,3.91,10.04,3.28,4.42,3.47,16.93,23,#6495ED
LB_17856_2,7.79,3.74,5.79,5.22,9.8,11.16,9.03,11.43,11.09,10.51,14.48,15.97,8.56,9.01,12.69,14.38,14.11,11.11,3.01,9.05,13.17,10.39,5.39,1.59,4.03,5.96,5.06,49.65,3.52,4.77,3.15,5.86,7.17,5.26,7.73,3.34,9.32,2.78,4.46,3.44,14.31,4,#6495ED
LB_17856_3,7.45,3.71,6.18,4.07,9.51,10.11,8.3,12.14,12.49,11.94,15.51,17.49,6.99,11.45,12.35,16.52,14.75,13.28,3.39,9.97,15.13,11.49,4.57,1.95,3.22,5.78,5.11,48.93,3.32,3.93,3.13,5.05,7.54,5.27,7.52,3.69,8.9,2.65,3.98,2.83,14.61,23,#6495ED
LB_17856_4,7.1,3.46,5.33,3.82,9.56,9.61,7.67,11.59,11.43,11.19,14.69,16.88,7.59,9.45,12.66,14.76,13.84,12.52,3.24,9.16,13.67,10.48,4.43,1.8,3.67,5.37,4.77,48.28,3.08,4.09,3.19,3.87,7.46,4.77,7.01,3.08,8.71,2.9,3.99,2.4,14.09,20,#6495ED
LB_17856_5,7.04,3.92,6.15,4.16,9.93,11.77,8.19,12.49,13.19,12.22,16.55,17.44,8.66,11.07,13.62,17.34,15.74,13.51,2.79,9.86,15.04,11.16,3.17,1.71,2.95,4.33,4.34,49.81,3.01,4.16,3.31,4.2,7.19,4.59,6.71,4.11,8.74,2.51,3.67,2.93,14.74,21,#6495ED
LB_17856_6,7.33,3.66,5.85,4.44,9.27,9.73,8.13,13.2,13.14,12.88,16.69,17.91,17.38,11.33,17.83,19.59,16.68,15.8,2.98,9.73,16.66,11.58,4.41,1.69,3.83,4.95,5.05,54.39,2.66,4.48,3.22,4.6,7.02,4.65,6.85,3.11,8.68,3.16,4.31,3.02,13.75,23,#6495ED
LB_17856_7,10.06,4.54,8.24,5.52,12.36,13.09,11.18,15.05,15.05,14.53,19.85,20.74,11.34,12.82,17.01,19.68,18.72,16.87,3.17,12.07,17.17,13.41,3.36,2.38,3.37,4.05,5.63,61.84,3.98,5.77,4.29,6.77,9.79,6.59,9.13,4.43,11.65,3.73,5.13,4.02,18.96,24,#6495ED
LB_17856_8,7.79,4.41,5.94,5.88,10.67,10.92,9.36,13.16,13.72,12.95,16.84,18.66,9.38,12,14.31,18.35,16.31,14.31,3.55,10.99,16.34,12.56,4.68,1.99,3.87,5.05,4.77,54.51,3.85,4.05,3.53,4.5,8.39,5.35,7.82,3.47,9.87,3.26,4.49,3.26,16.39,21,#6495ED
LB_17856_9,7.66,3.76,5.93,4.27,9.06,9.73,8.27,11.49,12.24,11.24,15.17,15.79,8.83,10.12,12.43,15.27,14.36,12.37,2.84,10.23,13.64,11.6,4.02,1.74,3.78,5.06,5.35,48.04,3.32,4.03,3.32,4.34,6.81,4.63,7.1,3.57,9.06,2.75,4.13,2.88,14.64,24,#6495ED
LB_17856_10,7.89,3.86,6.42,5.53,10.28,11.37,8.96,14.44,13.34,14.08,18.31,19.32,11.02,11.38,17.02,18.58,16.78,13.56,3.53,8.59,15.09,10.5,4.39,1.86,4.9,5.58,5.91,56.37,3.52,4.4,3.2,5.64,7.47,5.05,7.73,3.55,9.45,3.29,4.51,3.17,15.92,6,#6495ED
LB_17856_11,7.26,3.5,5.21,4.95,9.48,10.09,8.51,13.06,13.89,12.37,16.41,18.88,10.88,12.39,17.01,19.72,17.67,14.75,3.24,10.06,15.85,12.36,3.53,1.72,3.62,3.95,4.86,53.76,3.21,4.21,3.29,3.76,6.78,4.26,7.07,3.43,8.64,3.14,4.07,2.89,14.71,22,#6495ED
LB_17856_12,6.92,3.68,5.96,5.41,9.53,11.47,8.7,12.77,12.78,10.82,15.5,17.96,9.48,12.04,16.25,18.84,15.58,14.61,3.21,9.09,15.67,11.29,3.99,1.8,4.1,5.41,6.15,53.37,3.03,3.92,3.62,5.01,7.19,4.89,6.95,3.51,8.73,3.11,4.12,2.83,14.89,20,#6495ED
LB_17856_13,9.33,5.05,7.63,5.98,12.58,12.36,11.95,15.53,16.24,14.56,20.37,21.46,10.25,14.09,16.68,22.11,18.93,19.18,3.23,14.24,20.92,15.88,3.8,2.53,2.97,5.07,4.28,62.6,4.1,6.03,4.21,5.74,9.58,6.27,8.99,4.5,11.93,3.76,5.31,3.63,19.17,23,#6495ED
LB_17856_14,9.23,4.62,7.85,5.51,12.31,12.89,10.69,14.6,15.45,14.26,19.36,20.33,10.08,13.09,15.79,18.93,19.11,17.08,3.43,12.45,18.04,14.38,4.36,2.27,3.8,5.72,5.87,60.4,4.29,4.83,4.45,6.12,9.49,6.19,8.41,4.46,10.87,3.67,4.89,2.98,18.02,23,#6495ED
LB_17856_15,8.5,4.45,6.84,5.8,11.24,12.86,10.04,15.19,14.87,14.49,18.66,21.04,11.21,12.57,18.97,21.06,18.6,15.33,3.71,10.28,17.32,12.54,5.13,2.07,4.93,6.87,6.06,61.2,3.46,4.93,3.62,4.46,7.91,5.49,8.12,3.57,10.13,3.17,4.65,3.09,16.52,20,#6495ED
LB_22479_1,8.99,4.39,6.26,5.39,11.78,14.57,10.04,16.1,15.35,15.51,19.78,22.25,12.68,14.73,21.47,24.38,20.07,19.56,3.6,10.54,20.35,13.47,4.76,2.28,5.19,5.33,5.77,65.95,4.19,5.29,3.62,5.12,10.13,5.69,8.84,4.02,10.96,4.07,5.24,3.95,18.39,24,#00FFFF
LB_22479_2,8.92,4.71,7.05,6.41,12.16,13.85,9.91,16.53,15.7,16.76,20.44,24.29,11.6,14.12,21.43,23.19,19.91,16.85,4.47,9.65,19.38,12.75,6.38,2.14,4.95,6.85,5.73,64.38,3.99,5.57,3.87,6.44,9.36,5.64,8.66,4.24,11.26,3.59,4.84,3.84,18.07,23,#00FFFF
LB_22479_3,9.14,4,7.22,5.26,10.57,13.2,9.51,13.88,14.96,13.56,17.74,20.15,11.13,13.14,17.52,19.48,18.41,14.97,3.66,9.73,16.07,12.08,4.63,1.7,4.86,6,6.03,57.78,3.9,5.07,3.86,5.75,7.99,5.88,8.63,3.97,10.3,3.7,4.8,2.89,16.9,22,#00FFFF
LB_22479_4,7.72,3.8,6.53,4.5,10.07,11.68,8.43,15.13,14.24,15.15,18.09,20.45,11.12,12.79,19.24,20.64,18.03,16.11,3.48,9.95,17.12,11.36,4.31,1.8,4.65,5.88,6.45,59.64,3.16,4.97,3.28,4.72,8.87,3.23,7.3,3.38,9.47,3.64,4.69,3.38,16.03,24,#00FFFF
LB_22479_5,8.71,4.54,7.07,5.6,11.52,12.04,9.1,15.84,15.74,15.85,19.4,21.19,11.82,14.37,21.3,23.53,19.95,18.51,3.34,10.77,20.04,12.41,4.53,2.08,4.2,6.17,5.29,64.44,3.81,5.16,3.67,6.22,8.9,5.64,8.69,3.84,10.66,3.37,4.78,3.62,17.59,22,#00FFFF
LB_22479_6,9.05,4.29,7.4,5.74,13.03,12.19,10.63,17.67,16.26,17.75,21.05,23.66,12.97,16.07,22.76,24.77,21.25,18.2,3.8,10.84,19.84,14.04,4.13,2.57,3.31,5.49,5.03,67.11,3.45,5.78,4.09,7.11,8.87,5.74,8.74,4.44,10.83,4.28,5.08,4.16,17.4,21,#00FFFF
LB_22479_7,8.5,4.14,6.46,5.47,11.55,12.25,9.69,16.11,16.04,16.85,19.09,22.71,12.49,14.61,20.2,16.09,20.87,16.88,3.05,10.51,19.07,12.6,4.22,2.01,4.54,5.01,5.19,64.59,3.55,4.69,3.59,6.98,9.57,5.53,8.15,3.95,10.37,3.66,4.76,3.89,18.44,22,#00FFFF
LB_22479_8,8.53,3.86,7.14,4.96,11.57,12.39,10.25,18.46,16.16,16.82,21.72,22.85,15.39,13.18,23.29,24.16,22.01,17.75,3.39,11.58,19.56,13.08,5.29,1.92,5.18,6.19,6.49,70.57,3.32,5.45,3.51,8.23,8.05,5.68,8.13,4.05,10.55,3.61,5.05,4.31,18.07,24,#00FFFF
LB_22479_9,8.55,4.23,6.73,5.27,10.71,11.28,9.36,13.77,13.64,12.07,16.73,18.36,9.66,12.58,16.39,19.07,16.44,16.02,3.33,10.55,16.7,11.87,3.76,2.13,3.44,4.72,4.67,55.34,3.75,4.73,3.66,6.48,8.07,5.45,7.79,3.72,9.98,3.61,4.72,3.4,17.04,23,#00FFFF
LB_22479_10,9.63,4.67,7.41,5.57,11.85,13.17,10.41,15.56,15.02,13.92,19.27,19.98,10.66,12.76,16.86,20.32,17.6,16.85,3.63,11.6,17.9,13.46,4.26,2.26,4.24,5.54,5.92,61.07,3.89,5.28,4.1,7.25,9.25,6.1,8.96,4.24,11.21,4.3,5.27,3.4,18.17,24,#00FFFF
LB_22479_11,9.26,4.13,7.12,5.59,11.27,14.12,9.34,14.82,15.18,15.59,19.45,20.83,10.87,13.54,18.94,21.21,18.28,17.47,3.03,9.95,18.09,12.01,4.36,2.13,3.6,5.2,5.21,60.73,3.22,5.44,3.58,7.72,8.88,5.73,8.38,3.99,10.8,3.68,5.01,4.08,18.25,23,#00FFFF
LB_22479_12,8.4,3.73,6.92,5.34,10.03,11.85,8.88,13.86,14.01,13.91,17.58,18.93,11.77,12.05,17.83,20.74,17.49,15.38,3.59,9.17,17.27,11.42,4.55,1.99,3.84,5.89,5.69,57.07,3.33,4.71,3.26,5.16,8.26,5.1,7.48,3.7,9.56,3.23,4.47,2.8,15.77,15,#00FFFF
LB_22479_13,8.16,4.35,6.54,5.2,10.49,11.94,9.48,13.03,14.39,11.8,17.06,17.88,10.7,11.88,16.97,19.41,18.33,15.42,3.17,9.98,16.32,11.02,4.57,1.84,4.03,6.31,4.75,56.61,3.32,4.91,3.58,6.74,7.45,5.58,8.2,3.99,10.19,3.37,4.63,3.38,17.19,20,#00FFFF
LB_22479_14,8.04,4.39,6.59,5.59,10.28,13.48,9.03,11.92,13.61,12.5,15.86,18.1,9.2,10.25,16.42,16.97,17.01,13.82,3.44,9.43,14.47,11.58,3.79,1.55,4.21,5.27,6.46,54.04,3.52,5.17,3.46,6.08,8.35,5.74,7.98,4.11,10.15,3.23,4.79,2.96,16.47,23,#00FFFF
LB_22479_15,8.43,3.69,6.55,7.9,12.09,14.12,8.36,12.92,13.41,15.94,16.88,20.46,10.88,11.84,18.95,20.19,17.46,15.25,3.17,9.03,17.01,10.73,5.35,1.82,5.03,6.35,5.18,59.95,3.26,5.16,3.5,6.37,8.24,5.16,7.8,3.86,9.99,3.67,4.76,3.48,15.97,19,#00FFFF
NY_6993_1,6.11,2.87,5.08,4.27,7.8,9.42,6.24,8.86,9.25,10.64,12.64,13.29,7.35,8.9,10.29,10.67,11.42,10.85,2.35,7.13,11.61,8.2,3.77,1.55,3.08,3.73,4.96,40.95,2.06,3.77,2.61,4.67,6.74,3.73,5.51,4.54,6.96,3.01,3.77,2.58,12.59,26,#FFA500
NY_6993_2,5.41,3.37,5.28,4.42,8.26,9.71,6.67,11.34,9.62,11.62,13.91,15.04,9.06,7.98,11.97,13.86,12.84,10.79,2.49,8.45,12.45,8.55,3.95,1.54,3.12,3.91,4.45,44.17,1.91,4.18,2.7,5.18,5.91,3.84,6.01,2.93,7.36,3.11,3.89,3.18,12.53,16,#FFA500
NY_6993_3,6.41,2.79,5.62,4.64,7.91,9.37,6.32,9.35,8.77,9.92,12.09,12.88,6.85,7.89,9.77,12.82,10.61,9.25,2.36,7.97,10.78,7.46,3.88,1.39,3.19,4.84,4.2,40.22,2.07,4.27,2.74,4.51,6.03,3.59,5.83,2.61,7.71,3.17,4.25,3.51,12.03,5,#FFA500
NY_6993_4,7.58,3.81,6.28,5.24,9.11,10.94,7.79,10.59,10.89,11.49,13.75,15.97,8.58,8.65,11.45,14.71,13.33,11.07,2.68,9.75,12.66,10.52,3.65,1.67,2.48,4.64,3.52,47.36,2.8,3.04,2.37,4.87,6.98,4.59,7.09,3.38,9.24,4.2,4.87,3.76,14.64,20,#FFA500
NY_6993_5,8.01,3.48,6.45,5.35,10.48,10.58,9.06,14.13,12.41,12.69,16.18,17.01,10.18,11.28,16.46,16.71,16.18,13.66,3.66,10.45,17.47,9.82,5.14,2,3.53,5.55,4.54,55.97,2.8,5.15,2.77,4.36,7.77,4.59,7.51,2.99,9.8,3.64,4.99,4.03,16.06,23,#FFA500
NY_6993_6,6.34,4.05,4.87,3.9,7.79,9.7,6.33,9.34,9.24,10.38,12.42,12.83,7.56,7.6,9.54,12.53,11.41,9.7,2.02,7.4,11.34,8.05,3.15,1.42,2.64,3.43,3.01,38.62,2.03,3.55,2.88,3.45,6.55,3.67,5.93,2.83,7.33,3.21,3.63,2.43,11.94,17,#FFA500
NY_6993_7,6.46,2.85,6,3.91,8.41,9.4,7.1,11.36,14.15,11.61,14.22,14.89,7.99,8.78,12.24,14.74,13.21,9.76,2.67,7.8,12.62,8.64,4.64,1.7,4.55,5.34,4.98,45.29,2.15,4.33,2.66,4.77,7.47,3.67,5.88,2.98,7.62,3.28,4.2,3.34,13.02,22,#FFA500
NY_6993_8,7.86,3.73,6.51,4.93,9.96,10.74,8.85,13.22,12.43,12.85,15.59,18.48,10.24,12.96,17.63,19.27,15.85,14.26,3.53,8.39,16.05,11.08,4.89,1.85,4.49,5.88,5.94,54.57,2.95,5.31,2.91,6.69,9.06,5.08,7.38,3.54,9.52,4.29,5.06,3.63,16.12,22,#FFA500
NY_6993_9,7.51,3.76,6.44,5.17,10.35,11.66,8.59,13.64,12.19,13.15,16.44,17.76,11.87,11.24,14.72,19.01,16.05,13.62,2.93,9.53,15.85,10.64,3.92,2,3.81,4.92,4.55,52.8,2.84,4.76,3.03,6.61,7.87,4.82,7.61,3.43,9.58,3.36,4.84,2.83,15.78,23,#FFA500
NY_6993_10,7.57,3.38,6.27,5.66,11.61,11.3,8.74,13.69,11.57,14.51,16.4,19,11.02,10.47,16.65,18.94,14.76,12.63,3.45,8.62,15.76,11.22,5.26,1.85,6.13,6.18,6.33,56.35,3.69,4.69,3,6.54,8.51,4.87,7.77,5.22,9.73,3.81,4.74,3.3,15.97,22,#FFA500
NY_6993_11,7.71,3.76,7.73,4.73,9.33,10.89,9.27,12.43,10.85,12.73,14.77,18.25,9.38,9.64,14.03,15.47,13.97,12.69,3.35,9,13.59,11.47,4.45,1.68,4.67,5.28,6.03,50.09,3.02,4.83,3.55,4.69,8.99,4.99,7.4,3.99,9.37,3.31,4.42,3.02,14.61,24,#FFA500
NY_6993_12,8.05,3.5,6.69,4.79,10.13,11.72,8.41,13.7,12.62,14.2,16.1,19.19,10.86,10.65,17.04,18.7,15.97,13.92,3.11,9.04,14.74,10.16,5.17,2.02,4.31,4.59,5.65,55.65,2.56,5.35,2.67,6.69,8.79,5.03,7.79,3.46,10.04,4.16,5.01,4.19,15.92,14,#FFA500
NY_6993_13,7.66,3.66,6.52,4.65,9.31,11.38,8.12,14.12,11.8,13.92,16.37,18.33,11.48,10.61,15.88,18.18,15.49,13.46,3.08,9.91,14.48,9.8,4.62,1.94,4.19,6.47,5.41,54.89,2.85,4.69,3.02,6.34,8.56,5.05,6.68,3.8,9.52,3.71,4.86,3.55,14.77,23,#FFA500
NY_6993_14,7.73,4.1,6.12,4.79,9.96,10.79,8.56,13.82,11.66,13.77,16.62,19.16,10.66,11.35,17.59,19.23,16.3,14.16,3.31,10.15,15.63,11.55,4.5,1.92,3.75,5.33,4.82,55.5,2.75,7.1,3.44,4.06,8.79,4.46,7.59,4.03,9.56,4.07,4.95,3.74,15.57,19,#FFA500
NY_6993_15,7.54,3.5,6.7,5.18,10.48,11.8,9.15,14.08,12.6,14.85,17.51,20.78,10.69,11.67,17.09,19.48,16.93,14.17,3.11,11.04,15.62,11.24,4.79,1.95,4.43,5.89,5.18,57.51,3.09,4.89,3.53,5.01,7.87,4.81,7.86,3.98,9.56,3.9,5.06,4.07,16.48,25,#FFA500
NY_71641_1,6.51,2.98,4.97,4.11,8.44,10.43,6.97,10.46,10.03,10.21,12.73,14.66,6.61,8.42,11.58,13.12,11.83,9.44,2.87,8.22,11.47,8.53,3.51,1.58,2.82,4.61,4.57,42.25,2.48,3.78,2.24,4.48,7.15,3.91,6.34,2.7,7.82,2.54,3.96,2.8,12.99,21,#FFFF00
NY_71641_2,6.73,3.07,5.35,4.45,9.4,10.85,8.52,12.86,12.69,13.17,15.81,18.57,11.07,11.86,18.16,19.35,17.67,12.93,2.74,7.42,14.17,11.45,4.05,1.68,4.62,6.06,4.37,53.26,2.97,4.31,2.63,4.94,8.17,4.66,6.97,3.23,8.85,2.42,4.29,2.46,14.72,21,#FFFF00
NY_71641_3,7.41,3.41,5.71,6.49,9.63,11.62,8.51,13.53,11.33,12.28,14.42,18.84,10.66,9.52,15.35,16.69,15.07,12.9,2.32,8.51,13.4,10.62,4.94,1.92,3.96,5.32,5.55,52.98,2.94,4.43,2.73,5.4,7.85,4.76,7.07,2.99,9,3.25,4.02,2.63,14.26,21,#FFFF00
NY_71641_4,7.53,3.37,5.43,5.22,10.61,11.51,8.07,14.44,13.81,15,17.29,19.22,9.89,12.78,15.82,19.42,17.44,13.56,2.72,9.33,15.37,11.27,3.77,2,4.14,5.5,4.87,53.94,3.15,4.14,3.09,4.99,9,4.97,7.01,3.44,9.46,2.52,4.37,2.76,15.28,24,#FFFF00
NY_71641_5,7.99,3.41,5.78,6.03,9.54,10.36,8.04,12,11.14,12.1,14.85,16.32,8.99,9.41,11.12,14.87,14.26,12.5,2.21,8.45,12.81,9.16,3.41,1.66,3.56,4.4,5.76,47.15,3.36,4.11,2.55,4.28,7.36,5.28,7.38,2.98,9.45,2.8,4.18,3.19,14.72,21,#FFFF00
NY_71641_6,6.86,3.41,5.29,4.8,8.75,10.75,6.56,11.4,11.18,11.46,14.68,16.35,8.5,9.76,12.02,14.34,13.93,10.8,3.25,8.01,12.48,10.49,3.56,1.69,4.99,4.97,5.81,45.86,2.85,3.73,2.62,5.01,7.28,4.32,6.79,3.03,8.48,2.99,3.89,2.47,13.81,21,#FFFF00
NY_71641_7,6.78,3.55,5.14,5.05,9.1,10.67,7.44,12.55,11.87,12.57,15.21,16.97,7.4,10.74,13.58,15.86,14.73,10.74,2.66,8.46,12.65,9.34,3.84,1.52,3.63,4.93,5.31,48.64,2.92,4.39,3.11,5.17,7.61,4.69,7.13,3.19,8.3,3.34,4.69,3.21,14.28,20,#FFFF00
NY_71641_8,6.72,2.9,5.85,5.62,8.97,8.81,7.58,12.53,12.26,12.54,15.47,17.46,9.44,9.46,13.7,17.28,15.9,11.84,2.68,7.93,12.43,9.77,4.97,1.7,4.66,5.63,6.41,48.21,2.53,4.34,2.7,4.05,7.37,4.52,6.41,2.85,8.01,2.99,3.96,2.47,13.75,22,#FFFF00
NY_71641_9,7.11,3.28,5.63,5.11,9.22,10.29,7.88,12.03,10.64,11.77,13.94,17.04,7.92,9.29,11.8,13.54,11.99,12.28,2.77,8.94,13.75,10.51,3.58,1.81,3.01,5.28,4.12,44.52,2.71,4.23,3.05,3.98,7.43,4.37,7.07,2.83,8.57,3.24,4.1,2.52,14.03,22,#FFFF00
NY_71641_10,6.82,5.51,5.38,4.46,9.3,10.2,7.54,11.29,10.05,10.65,12.43,15.34,5.14,12.79,11.29,13.37,12.11,11.7,3.18,8.02,11.4,9.52,3.21,1.45,3.87,5.29,5.85,43.92,3.19,4.35,2.62,4.33,6.97,4.61,7.11,3.08,8.16,3.27,4.11,2.78,13.3,21,#FFFF00
NY_71641_11,8.42,4.08,5.89,5.77,10.47,12.12,9.09,13.8,12.67,14.67,16.05,19.25,11.16,11.88,14.59,18.14,16.56,14.43,3.27,10.14,15.74,11.71,5.34,1.87,4.61,6.26,4.86,56.14,3,4.7,3.13,3.68,8.89,5.39,8.65,3.43,10.17,3.65,4.96,3.08,16.38,21,#FFFF00
NY_71641_12,6.32,2.27,5.05,5.18,9.13,10.59,7.35,10.56,10.17,11.08,13.36,15.54,6.91,8.66,12.7,14.08,13.02,10.56,2.69,8.65,10.88,10.89,3.88,1.58,3.83,5.24,4.8,44.76,2.76,3.99,2.35,3.6,7.74,4.86,6.82,2.69,8.3,3.2,4.12,3.03,13.88,21,#FFFF00
NY_71641_13,7.79,3.82,5.81,5.94,10.21,10.6,8.03,12.19,11.68,11.96,14.88,17.58,8.45,9.22,12.21,15.35,14.24,12.29,2.69,10.27,12.49,9.3,3.31,1.97,3.13,5.1,3.39,47.68,3.22,3.66,3.02,4.86,8.34,4.66,7.72,3.03,9.37,3.67,4.55,3.2,15.34,21,#FFFF00
NY_71641_14,6.15,3.01,5.64,4.69,7.88,9.92,6.5,10.33,10.32,9.89,12.57,13.68,7.24,8.22,10.65,13.6,12.53,10.13,2.72,7.87,12.27,8.77,3.8,1.7,4.24,3.74,4.44,40.98,2.58,4,2.63,3.7,6.45,4.28,5.11,2.82,7.53,2.56,3.83,2.59,13.1,20,#FFFF00
