CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N,Color
WA_94135_10,5.32,2.3,4.12,4.2,7.48,8.65,7.03,8.79,10.43,6.89,11.58,11.77,6.95,8.84,12.67,12.92,12.78,10.43,2.63,7.52,10.47,7.65,2.68,1.5,3.38,3.82,4.79,38.64,2.51,3.36,1.97,5.15,5.82,3.42,5.73,2.34,6.34,1.9,2.94,2.28,11.07,4,#228B22
WA_94135_11,4.94,2.51,4.14,4.4,7.83,8.16,6.47,8.45,10.01,5.6,10.52,11.41,4.71,7.82,10.76,10.67,11.49,9.88,2.51,7.21,10.37,7.73,3.23,1.46,2.82,3.96,3.78,34.5,2.24,2.86,2.06,3.84,5.71,3.44,5.01,1.99,6.1,2.36,2.86,1.93,10.79,4,#228B22
WA_94135_12,5.54,2.82,4.73,4.01,7.48,8.27,6.84,8.68,10.22,6.98,10.72,13.21,5.03,7.79,9.75,10.85,11.22,9.91,2.78,8.05,10.51,9.08,3.71,1.64,3.62,5.23,4.6,37.55,2.27,2.96,2.34,3.08,5.32,3.62,5.59,2.76,6.86,2.1,3.25,2.09,11.64,4,#228B22
WA_94135_13,5.09,2.56,3.99,3.75,7.16,8.23,6.35,9.79,9.96,8.26,11.87,12.71,6.35,7.88,11.16,12.34,11.83,8.52,2.36,6.84,10.11,7.76,4.87,1.77,3.88,5.76,5.27,39.05,2.04,2.81,2,5.07,5.14,3.38,5.03,2.24,6.48,1.58,2.92,1.48,11.53,5,#228B22
WA_94135_14,4.85,2.13,3.94,4.41,6.85,7.66,6.25,7.9,9.33,7.5,10.06,12.13,5.59,6.95,9.31,10.59,11.01,7.92,2.16,7,8.93,6.74,3.96,1.3,3.43,4.61,4.44,33.74,1.93,2.88,1.93,3.26,4.9,3.32,5.71,2.61,6.54,2.16,2.97,2.22,10.7,5,#228B22
WA_94135_15,5.77,3.1,4.4,4.74,7.91,9.62,6.76,9.44,9.82,6.99,11.61,12.6,5.29,8.25,10.49,11.6,12.07,10.59,2.66,7.41,10.93,8.13,4.18,1.51,2.71,3.19,3.4,37.5,2.75,3.01,2.52,3.95,6.27,3.98,5.68,2.48,7.16,2.19,3.45,2.13,12.28,4,#228B22
WA_94135_2,6.04,2.84,5.18,5.81,8.7,10.1,8.89,10.19,11.43,8.66,12.66,14.55,6,9.62,13.12,13.97,12.86,12.25,2.95,8.39,13.67,8.89,3.44,2.1,3.25,5.33,4.81,43.45,2.86,3.5,2.84,3.86,6.04,4.25,6.43,2.56,7.79,2.76,3.74,3.15,13.46,5,#228B22
WA_94135_3,6.11,3.53,4.82,4.67,8.7,9.08,8.29,10.27,12.5,8.26,13.6,14.52,6.32,9.16,11.91,13.46,14.5,10.97,3.03,8.22,12.13,8.79,4.21,1.96,3.35,3.94,5.78,42.07,2.78,3.59,2.96,4.36,5.76,3.7,6.56,2.91,7.87,2.32,4.17,2.31,12.78,5,#228B22
WA_94135_4,6.03,2.69,4.85,4.38,8.88,10.62,7.48,10.01,11.79,8.62,9.89,13.81,6.49,9.63,12.98,14.26,13.8,11.68,3.01,7.14,12,8.5,3,1.79,3.45,5.67,4.96,42.01,2.3,2.6,2.59,5.03,6.61,3.89,5.53,2.53,7.2,2.19,3.68,2.74,12.72,6,#228B22
WA_94135_5,6.12,2.85,5.31,5.22,9.32,10.42,8.93,11.64,13.07,7.94,14.46,16.26,7.43,10.74,17.37,15.91,13.01,11.89,3.04,7.66,13.64,9.97,4.92,2.1,4.48,5.15,5.41,48.2,2.84,3.65,2.36,5.3,6.82,3.99,6.81,2.99,8.29,2.42,3.61,2.62,13.6,7,#228B22
WA_94135_6,5.86,2.79,4.74,4.45,8.19,8.7,8.23,9.02,11.05,7.36,11.49,13.18,6.41,7.58,11.22,9.21,13.02,9.4,3.19,7.42,10.36,8.26,4.24,1.74,4,5.89,5.32,39.78,2.55,3.85,2.21,2.95,5.6,4.07,5.81,2.87,7.85,2.68,3.79,2.71,13.24,6,#228B22
WA_94135_7,4.94,2.2,4.13,4.66,7.28,8.36,6.37,8.75,9.72,7.64,9.82,11.88,6.36,8.15,11.28,13.37,12.08,10.13,2.46,7.43,11.4,9,3.08,1.84,3.37,4.71,4.41,38.36,2.21,3.14,1.95,3.44,5.52,3.54,5.01,2.06,6.7,2.42,3.11,2.28,10.74,7,#228B22
WA_94135_9,5.27,2.18,3.88,4.66,7.11,8.32,7.41,9.06,9.67,7.85,11.44,12.74,6.09,7.89,11.85,12.7,12.24,10.44,2.53,7.21,10.73,6.96,4.15,1.55,3.29,4.72,4.75,38.94,2.5,2.92,2.22,4.49,4.92,3.44,4.84,2.23,6.45,2.08,3.34,2.34,10.93,3,#228B22
